Team,Name,Position,Age
Bournemouth,Mihai Dobre,MF,20
Bournemouth,Gavin Kilkenny,MF,19
Bournemouth,Christian Saydee,MF,17
Watford,Ben Foster,GK,36
Watford,Abdoulaye Doucouré,MF,26
Watford,Étienne Capoue,MF,31
Watford,Craig Cathcart,DF,30
Watford,Will Hughes,MF,FW,24
Watford,Craig Dawson,DF,29
Watford,Christian Kabasele,DF,28
Watford,Kiko Femenía,DF,28
Watford,Troy Deeney,FW,31
Watford,Gerard Deulofeu,FW,25
Watford,Ismaila Sarr,FW,MF,21
Watford,Adam Masina,DF,25
Watford,Roberto Pereyra,FW,MF,28
Watford,Adrian Mariappa,DF,32
Watford,José Holebas,DF,35
Watford,Tom Cleverley,MF,29
Watford,Nathaniel Chalobah,MF,24
Watford,Danny Welbeck,FW,MF,28
Watford,Andre Gray,FW,28
Watford,Daryl Janmaat,DF,30
Watford,Dimitri Foulquier,MF,DF,26
Watford,Sebastian Prödl,DF,32
Watford,Ignacio Pussetto,FW,DF,23
Watford,Isaac Success,FW,MF,23
Watford,João Pedro,FW,MF,17
Watford,Domingos Quina,MF,19
Watford,Tom Dele-Bashiru,MF,19
Watford,Heurelho Gomes,GK,38
Watford,Adalberto Peñaranda,FW,22
Watford,Ken Sema,DF,MF,25
Norwich City,Max Aarons,DF,19
Norwich City,Tim Krul,GK,31
Norwich City,Teemu Pukki,FW,29
Norwich City,Kenny McLean,MF,27
Norwich City,Ben Godfrey,DF,21
Norwich City,Todd Cantwell,FW,MF,21
Norwich City,Emi Buendía,FW,MF,22
Norwich City,Alexander Tettey,MF,DF,33
Norwich City,Jamal Lewis,DF,21
Norwich City,Christoph Zimmermann,DF,26
Norwich City,Sam Byram,DF,25
Norwich City,Onel Hernández,FW,MF,26
Norwich City,Grant Hanley,DF,27
Norwich City,Marco Stiepermann,MF,28
Norwich City,Tom Trybull,MF,26
Norwich City,Ondrej Duda,MF,24
Norwich City,Ibrahim Amadou,DF,MF,26
Norwich City,Lukas Rupp,FW,MF,28
Norwich City,Moritz Leitner,MF,26
Norwich City,Timm Klose,DF,31
Norwich City,Mario Vrančić,MF,30
Norwich City,Josip Drmić,FW,MF,26
Norwich City,Adam Idah,FW,MF,18
Norwich City,Michael McGovern,GK,35
Norwich City,Ralf Fährmann,GK,30
Norwich City,Dennis Srbeny,MF,FW,25
Norwich City,Josh Martin,FW,17
Norwich City,Patrick Roberts,MF,FW,22
Norwich City,Akin Famewo,MF,20
Norwich City,Jordan Thomas,FW,
Norwich City,Daniel Adshead,MF,17
Norwich City,Philip Heise,DF,MF,28
Norwich City,Archie Mair,GK,18
