Date,Home,Away,Goal Scorer,Minute Scored,Team
2020-07-11,"Sheffield Utd","Chelsea","Oliver McBurnie",33,"Sheffield Utd"
2020-07-26,"Arsenal","Watford","Pierre-Emerick Aubameyang",33,"Arsenal"
2019-12-08,"Brighton","Wolves","Neal Maupay",34,"Brighton"
2020-07-07,"Crystal Palace","Chelsea","Wilfried Zaha",34,"Crystal Palace"
2020-07-11,"Liverpool","Burnley","Andrew Robertson",34,"Liverpool"
2019-08-17,"Manchester City","Tottenham","Sergio Agüero",35,"Manchester City"
2019-12-26,"Bournemouth","Arsenal","Dan Gosling",35,"Bournemouth"
2020-01-18,"Southampton","Wolves","Shane Long",35,"Southampton"
2020-07-02,"Manchester City","Liverpool","Raheem Sterling",35,"Manchester City"
2020-07-04,"Manchester Utd","Bournemouth","Marcus Rashford (P)",35,"Manchester Utd"
2020-07-18,"Norwich City","Burnley","Emi Buendía",35,"Norwich City"
2019-10-20,"Manchester Utd","Liverpool","Marcus Rashford",36,"Manchester Utd"
2019-11-25,"Aston Villa","Newcastle Utd","Anwar El Ghazi",36,"Aston Villa"
2019-12-08,"Brighton","Wolves","Davy Pröpper",36,"Brighton"
2019-12-26,"Sheffield Utd","Watford","Oliver Norwood (P)",36,"Sheffield Utd"
2019-12-26,"Manchester Utd","Newcastle Utd","Mason Greenwood",36,"Manchester Utd"
2020-01-21,"Bournemouth","Brighton","Harry Wilson",36,"Bournemouth"
2020-03-07,"Sheffield Utd","Norwich City","Billy Sharp",36,"Sheffield Utd"
2020-06-25,"Chelsea","Manchester City","Christian Pulisic",36,"Chelsea"
2020-07-17,"West Ham","Watford","Declan Rice",36,"West Ham"
2019-10-27,"Newcastle Utd","Wolves","Jamaal Lascelles",37,"Newcastle Utd"
2019-11-23,"Manchester City","Chelsea","Riyad Mahrez",37,"Manchester City"
2020-02-01,"Bournemouth","Aston Villa","Philip Billing",37,"Bournemouth"
2020-07-01,"Arsenal","Norwich City","Granit Xhaka",37,"Arsenal"
2020-07-19,"Tottenham","Leicester City","Harry Kane",37,"Tottenham"
2019-12-09,"West Ham","Arsenal","Angelo Ogbonna",38,"West Ham"
2019-12-14,"Liverpool","Watford","Mohamed Salah",38,"Liverpool"
2019-12-14,"Leicester City","Norwich City","Tim Krul (OG)",38,"Leicester City"
2020-01-11,"Chelsea","Burnley","Tammy Abraham",38,"Chelsea"
2020-01-11,"Everton","Brighton","Richarlison",38,"Everton"
2020-01-18,"Brighton","Aston Villa","Leandro Trossard",38,"Brighton"
2020-01-22,"Tottenham","Norwich City","Dele Alli",38,"Tottenham"
2020-07-22,"Liverpool","Chelsea","Trent Alexander-Arnold",38,"Liverpool"
2020-07-15,"Manchester City","Bournemouth","Gabriel Jesus",39,"Manchester City"
2019-12-07,"Tottenham","Burnley","Harry Kane",4,"Tottenham"
2020-01-01,"Norwich City","Crystal Palace","Todd Cantwell",4,"Norwich City"
2020-01-02,"Liverpool","Sheffield Utd","Mohamed Salah",4,"Liverpool"
2019-09-14,"Liverpool","Newcastle Utd","Sadio Mané",40,"Liverpool"
2019-10-05,"Liverpool","Leicester City","Sadio Mané",40,"Liverpool"
2020-01-18,"West Ham","Everton","Issa Diop",40,"West Ham"
2020-02-29,"West Ham","Southampton","Sébastien Haller",40,"West Ham"
2020-03-09,"Leicester City","Aston Villa","Harvey Barnes",40,"Leicester City"
2020-07-19,"Tottenham","Leicester City","Harry Kane",40,"Tottenham"
2019-08-24,"Liverpool","Arsenal","Joël Matip",41,"Liverpool"
2019-08-31,"Leicester City","Bournemouth","Youri Tielemans",41,"Leicester City"
2019-08-31,"Newcastle Utd","Watford","Fabian Schär",41,"Newcastle Utd"
2019-09-22,"Arsenal","Aston Villa","Ainsley Maitland-Niles",41,"Arsenal"
2019-11-10,"Wolves","Aston Villa","Rúben Neves",41,"Wolves"
2019-12-26,"Manchester Utd","Newcastle Utd","Marcus Rashford",41,"Manchester Utd"
2020-01-21,"Bournemouth","Brighton","Pascal Groß (OG)",41,"Bournemouth"
2020-07-20,"Wolves","Crystal Palace","Daniel Podence",41,"Wolves"
2020-07-26,"Everton","Bournemouth","Moise Kean",41,"Everton"
2019-08-31,"Manchester City","Brighton","Sergio Agüero",42,"Manchester City"
2019-11-09,"Newcastle Utd","Bournemouth","DeAndre Yedlin",42,"Newcastle Utd"
2019-12-01,"Manchester Utd","Aston Villa","Tom Heaton (OG)",42,"Manchester Utd"
2019-12-28,"Watford","Aston Villa","Troy Deeney",42,"Watford"
2019-12-29,"Liverpool","Wolves","Sadio Mané",42,"Liverpool"
2020-01-01,"Arsenal","Manchester Utd","Sokratis Papastathopoulos",42,"Arsenal"
2020-02-01,"Watford","Everton","Roberto Pereyra",42,"Watford"
2020-02-23,"Manchester Utd","Watford","Bruno Fernandes (P)",42,"Manchester Utd"
2019-08-31,"Chelsea","Sheffield Utd","Tammy Abraham",43,"Chelsea"
2019-09-28,"Tottenham","Southampton","Harry Kane",43,"Tottenham"
2019-11-02,"Sheffield Utd","Burnley","John Lundstram",43,"Sheffield Utd"
2019-12-04,"Southampton","Norwich City","Ryan Bertrand",43,"Southampton"
